site_id;super_site_id
1000;1
1001;2
1002;3
1003;4
1004;5
1005;6
1006;7
1007;8
1008;9
1009;10
1010;11
1011;12
1012;12
1013;12
1014;12
1015;13
1016;14
1017;15
1018;16
1019;17
1020;18
1021;19
1022;20
1023;21
1024;22
1025;22
1026;23
1027;24
1028;25
1029;26
1030;26
1031;26
1032;27
1033;28
1034;29
1035;30
1036;31
1037;32
1038;33
1039;34
1040;33
1041;35
1042;35
1043;36
1044;36
1045;37
1046;38
1047;39
1048;40
1049;41
1050;42
1051;43
1052;43
1053;43
1054;44
1055;45
1056;46
1057;46
1058;47
1059;48
1060;48
1061;48
1062;48
1063;48
1064;49
1065;49
1066;50
1067;51
1068;52
1069;52
1070;52
1071;52
1072;52
1073;52
1074;52
1075;53
1076;54
1077;55
1078;56
1079;56
1080;56
1081;57
1082;57
1083;56
1084;57
1085;57
1086;56
1087;58
1088;59
1089;60
1090;58
1091;60
1092;60
1093;58
1094;60
1095;58
1096;61
1097;62
1098;63
1099;58
1100;64
1101;64
1102;58
1103;64
1104;64
1105;65
1106;66
1107;58
1108;64
1109;67
1110;65
1111;68
1112;69
1113;70
1114;58
1115;70
1116;71
1117;70
1118;58
1119;70
1120;70
1121;72
1122;73
1123;70
1124;70
1125;74
1126;75
1127;70
1128;73
1129;76
1130;70
1131;77
1132;76
1133;78
1134;79
1135;80
1136;70
1137;77
1138;80
1139;81
1140;82
1141;83
1142;84
1143;75
1144;85
1145;86
1146;87
1147;88
1148;89
1149;77
1150;88
1151;84
1152;87
1153;86
1154;89
1155;90
1156;70
1157;84
1158;90
1159;89
1160;77
1161;88
1162;86
1163;91
1164;92
1165;93
1166;91
1167;91
1168;84
1169;86
1170;94
1171;95
1172;86
1173;96
1174;97
1175;77
1176;91
1177;98
1178;93
1179;99
1180;100
1181;99
1182;101
1183;84
1184;102
1185;99
1186;77
1187;103
1188;104
1189;105
1190;106
1191;107
1192;108
1193;109
1194;110
1195;111
1196;112
1197;99
1198;113
1199;114
1200;115
1201;116
1202;117
1203;118
1204;110
1205;119
1206;120
1207;121
1208;107
1209;118
1210;122
1211;123
1212;119
1213;123
1214;124
1215;118
1216;113
1217;125
1218;126
1219;117
1220;127
1221;128
1222;107
1223;119
1224;129
1225;130
1226;117
1227;125
1228;119
1229;131
1230;132
1231;133
1232;134
1233;135
1234;136
1235;137
1236;138
1237;126
1238;140
1239;140
1240;119
1241;141
1242;141
1243;142
1244;143
1245;144
1246;138
1247;136
1248;117
1249;119
1250;126
1251;145
1252;146
1253;147
1254;148
1255;149
1256;140
1257;138
1258;150
1259;145
1260;147
1261;151
1262;152
1263;153
1264;138
1265;146
1266;154
1267;153
1268;152
1269;154
1270;155
1271;150
1272;152
1273;156
1274;157
1275;158
1276;159
1277;160
1278;161
1279;158
1280;162
1281;163
1282;164
1283;165
1284;166
1285;167
1286;163
1287;168
1288;169
1289;170
1290;165
1291;165
1292;164
1293;163
1294;172
1295;167
1296;173
1297;174
1298;174
1299;165
1300;175
1301;174
1302;174
1303;176
1304;174
1305;177
1306;174
1307;174
1308;178
1309;179
1310;180
1311;172
1312;181
1313;181
1314;182
1315;183
1316;184
1317;185
1318;181
1319;186
1320;187
1321;185
1322;188
1323;183
1324;189
1325;190
1326;189
1327;191
1328;191
1329;192
1330;193
1331;194
1332;189
1333;195
1334;196
1335;197
1336;183
1337;198
1338;199
1339;200
1340;201
1341;202
1342;194
1343;196
1344;203
1345;204
1346;205
1347;200
1348;203
1349;196
1350;197
1351;200
1352;206
1353;207
1354;208
1355;208
1356;209
1357;210
1358;211
1359;206
1360;212
1361;211
1362;213
1363;214
1364;215
1365;216
1366;217
1367;217
1368;218
1369;219
1370;220
1371;219
1372;220
1373;220
1374;220
1375;220
1376;220
1377;221
1378;222
1379;221
1380;62
1381;62
1382;223
1383;224
1384;64
1385;225
1386;226
1387;227
1388;228
1389;229
1390;230
1391;65
1392;231
1393;232
1394;233
1395;233
1396;234
1397;235
1398;235
1399;236
1400;237
1401;238
1402;83
1403;239
1404;80
1405;240
1406;79
1407;86
1408;241
1409;242
1410;243
1411;95
1412;244
1413;245
1414;246
1415;247
1416;248
1417;249
1418;250
1419;251
1420;252
1421;253
1422;254
1423;255
1424;255
1425;256
1426;257
1427;144
1428;258
1429;259
1430;258
1431;260
1432;147
1433;157
1434;261
1435;259
1436;262
1437;263
1438;264
1439;265
1440;266
1441;264
1442;267
1443;268
1444;269
1445;270
1446;271
1447;272
1448;273
1449;274
1450;275
1451;275
1452;276
1453;277
1454;192
1455;173
1456;278
1457;279
1458;187
1459;201
1460;280
1461;281
1462;282
1463;283
1464;188
1465;284
1466;200
1467;285
1468;197
1469;286
1470;287
1471;288
1472;289
1473;290
1474;218
1475;214
1476;216
1477;219
